Genre,Poem,char_count,word_count,clean_poem
Music,"              In the thick brushthey spend the hottest part of the day,              soaking their hoovesin the trickle of mountain water              the ravine hoardson behalf of the oleander.           ",205,26,thick brushthey spend hottest part day soaking hoovesin trickle mountain water ravine hoardson behalf oleander
Music,"   Storms are generous.                                      Something so easy to surrender to, sitting by the window, and then you step out into the garden you were so bored of,             ",191,26,storm generous something easy surrender sitting window step garden bored
Music," —After Ana Mendieta Did you carry around the matin star? Did you hold forest-fire in one hand? Would you wake to radiate, shimmer, gleam lucero-light? Through the morning would you measure the wingspan of an idea taking off— & by night would",242,42,—after ana mendieta carry around matin star hold forestfire one hand would wake radiate shimmer gleam lucerolight morning would measure wingspan idea taking off— night would
Music," for Aja Sherrard at 20The portent may itself be memory. —Wallace StevensHow hard to carry scores of adults on your back,not look at them as carrions of need, the distressof what loyalty requires. This pain is",209,36,aja sherrard portent may memory —wallace stevenshow hard carry score adult backnot look carrion need distressof loyalty requires pain
Music," for Bob Marley, Bavaria, November 1980 Here is the brilliant morning on a fishing boat, this is the dream a dying man has in midwinter, the world covered in light and shadow—he dreams of St. Ann’s",197,36,bob marley bavaria november brilliant morning fishing boat dream dying man midwinter world covered light shadow—he dream st ann’s
Music," For Frank X WalkerFXW: I don’t know how to swim Me: What?! FXW: There were no pools for Black Folk when I was coming up In sleep’s 3-D theatre: home,a green island surrounded by the blue of ocean. Zoom to the heart, see",220,43,frank x walkerfxw don’t know swim fxw pool black folk coming sleep’s theatre homea green island surrounded blue ocean zoom heart see
Music," My neighbor to the left had a stroke a couple years ago. It didn’t look like he was going to make it, and then he made it. I’m watching him now from my window as",162,35,neighbor left stroke couple year ago didn’t look like going make made i’m watching window
Music,"—for a sixty-seven-pound nugget of Lake Superior copperfound in an Iowa cornfield Before the earliest flute was carved from a vulture’s wing, before we—what few we were— bowed to the moon, the balmy, secular night, you",218,36,—for sixtysevenpound nugget lake superior copperfound iowa cornfield earliest flute carved vulture’s wing we—what were— bowed moon balmy secular night
Music,"—Issa Rae Everybody Black is my hometown team. Everybody Blackdropped the hottest album of the year, easy. Everybody Blackis in this show, so I’m watching. Everybody Black is in this movie,",189,31,—issa rae everybody black hometown team everybody blackdropped hottest album year easy everybody blackis show i’m watching everybody black movie
Music,"""Save your hands,” my mother says, seeing me untwist a jar's tight cap—just the way she used to tell me not to let boys fool around, or feelmy breasts: ""keep them fresh for marriage,” as if they were a pairof actual fruit. I scoffed to think they could bruise, scuff,soften, rot, wither. I look",294,54,save hands” mother say seeing untwist jar tight cap—just way used tell let boy fool around feelmy breast keep fresh marriage” pairof actual fruit scoffed think could bruise scuffsoften rot wither look
Music,"“It’s all empty, empty,”he said to himself. “The sex and drugs. The violence, especially.” So he went down into the world to exercise his virtue,thinking maybe that would help. He taught a little kid to build a kite. He found a cure,and then he found a cure for his cure. He gave a",281,53,“it’s empty empty”he said “the sex drug violence especially” went world exercise virtuethinking maybe would help taught little kid build kite found cureand found cure cure gave
Music,(for Ntozake Shange)I used to be a roller coaster girl 7 times in a row No vertigo in these skinny legs My lipstick bubblegum pinkAs my,135,26,ntozake shangei used roller coaster girl time row vertigo skinny leg lipstick bubblegum pinkas
Music,(the passports curled up) (it was so humid in our rented room)(travel to forget the criminal element) (in my bad blood) (Nothing very significant at the cemetery),162,27,passport curled humid rented roomtravel forget criminal element bad blood nothing significant cemetery
